task_id,domain,source_file,n_tool_calls_annotated,n_dependency_layers_graph,dependency_graph_path,has_persistent_write,write_tools_found,has_high_risk_write,evaluator_available,c1_min_tool_calls,c2_min_3_dep_layers,c3_has_persistent_write,c4_has_high_risk_write,c5_evaluator_available,included,exclusion_reasons
31,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_b6bb0942c7a77e01.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
34,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_5a8085308a3a7963.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
35,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_b5bdcc99ebb475bc.json,True,book_reservation,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
36,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_0fba27605237fa8f.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
38,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_f7abd64e19f1bceb.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
40,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_9900c0858b797838.json,True,update_reservation_passengers,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
41,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,8,8,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_819cc5ec806250aa.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
43,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_98011a7f65633657.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
45,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_8b5f439e52ac0538.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
46,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_12f1b322ae89b6c9.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
47,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_34fa1f4cf513d103.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
48,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_a36e79fee3cc1c36.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
49,airline,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/airline/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/airline_52e14779b9d0ca7a.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
10,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_4ca501921236e4f4.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
12,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_a30f3ad9254229b9.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
24,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_306edd7826bd877d.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
25,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_56b52770a1564ee3.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
36,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_63ccb767b30aacf8.json,True,modify_pending_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
50,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_21438daae3539772.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
57,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,0,0,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_78aa64ce15441fa8.json,False,,False,True,False,False,False,False,True,False,c1_min_tool_calls; c2_min_3_dep_layers; c3_has_persistent_write; c4_has_high_risk_write
62,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_5aaba4424a258508.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
65,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,3,3,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_25ab1cf6a2accf05.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
67,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_f5465543481b0e95.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
68,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,4,4,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_418c529b243f7e9a.json,False,,False,True,False,True,False,False,True,False,c1_min_tool_calls; c3_has_persistent_write; c4_has_high_risk_write
70,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_456b9c410982d447.json,True,exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
71,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_8dd4c7609fef5e5e.json,True,modify_pending_order_address|modify_pending_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
72,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_7a584de8b279c7a9.json,True,modify_pending_order_address|modify_pending_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
73,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_a214a745b17c3ed7.json,True,return_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
74,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_da1459c9b16a462c.json,True,cancel_pending_order|modify_pending_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
75,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_c84d02efbcde9c0d.json,True,exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
76,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_69de14b66f141fb5.json,True,cancel_pending_order|cancel_pending_order,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
77,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_bbd4a070a405dc93.json,True,exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
79,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_cbe8eb9c3af38631.json,True,modify_pending_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
80,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_1744fe90fb9252a2.json,True,exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
81,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_7dd2eb069dd30160.json,True,cancel_pending_order|cancel_pending_order,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
82,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_e7645bd01afbab5a.json,True,return_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
83,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_aa2f7fb20cec5dc9.json,True,return_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
84,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_12ae7082f6c79d2c.json,True,return_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
85,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_918a4701f4abc41f.json,True,modify_pending_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
86,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_c3702794308caf1e.json,True,modify_pending_order_items|modify_user_address,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
88,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_31d220080ee3b16e.json,True,cancel_pending_order,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
89,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_fe969ad2feb8aa4b.json,True,return_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
90,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_5886cc54dd18df11.json,True,cancel_pending_order,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
91,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_88b686909ce8290e.json,True,return_delivered_order_items|exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
92,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_7d640b485bce4056.json,True,return_delivered_order_items|return_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
93,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_54bb3a3330b5ed25.json,True,exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
94,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_87e3d036e26445a4.json,True,exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
95,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_cad159c3847257af.json,True,exchange_delivered_order_items|exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
96,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_e44e81c9f43bb4bf.json,True,modify_pending_order_address|modify_pending_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
97,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_78e3e98bd9a370a0.json,True,modify_pending_order_address|modify_pending_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
99,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_f1ff0f4efa755520.json,True,exchange_delivered_order_items|exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
100,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_78d651bfc8751052.json,True,modify_pending_order_items|return_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
105,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_e6439fcee3f1874d.json,True,exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
106,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_a35825bdc1420ce0.json,True,exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
107,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_26e07843a98820c6.json,True,exchange_delivered_order_items|exchange_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
108,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_67bc5b615555c853.json,True,return_delivered_order_items,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
113,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_3097bbd3b3dbe722.json,True,cancel_pending_order|cancel_pending_order,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
[mobile_data_issue]user_abroad_roaming_enabled_off[PERSONA:None],telecom,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/telecom/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/telecom_355ffb2228244f4a.json,True,toggle_roaming,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
[mobile_data_issue]user_abroad_roaming_disabled_on[PERSONA:Easy],telecom,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/telecom/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/telecom_8f4488811301f0bc.json,True,enable_roaming,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
[mobile_data_issue]user_abroad_roaming_disabled_off[PERSONA:Hard],telecom,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/telecom/tasks.json,2,2,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/telecom_3812296140e89fab.json,True,enable_roaming|toggle_roaming,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
[mobile_data_issue]data_mode_off[PERSONA:None],telecom,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/telecom/tasks.json,1,1,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/telecom_702f2187660c3eb7.json,True,toggle_data,True,True,False,False,True,True,True,False,c1_min_tool_calls; c2_min_3_dep_layers
