model,domain,regime,method,task_id,reward,termination,duration_sec,benchmark_split,timeout_s,max_steps,source
Qwen3.6-27B,airline,FullSync,RAVEL,17,0.0,USER_STOP,135.3,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,12,0.0,TIMEOUT,912.8,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,22,1.0,USER_STOP,810.5,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,30,1.0,USER_STOP,618.1,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,32,0.0,TIMEOUT,900.7,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,33,0.0,MAX_STEPS,747.1,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,37,1.0,USER_STOP,313.8,dev,900,25,ravel_corrected
Qwen3.6-27B,airline,FullSync,RAVEL,44,0.0,MAX_STEPS,152.0,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,6,0.0,USER_STOP,102.8,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,0,0.0,USER_STOP,323.5,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,8,0.0,MAX_STEPS,245.7,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,13,0.0,USER_STOP,152.3,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,18,,INFRASTRUCTURE_ERROR,0,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,32,0.0,MAX_STEPS,308.8,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,31,,INFRASTRUCTURE_ERROR,0,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,52,0.0,MAX_STEPS,372.2,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,54,0.0,MAX_STEPS,192.9,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,39,0.0,TIMEOUT,911.9,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,98,0.0,MAX_STEPS,344.8,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,109,0.0,MAX_STEPS,883.7,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,111,0.0,MAX_STEPS,376.1,dev,900,25,ravel_corrected
Qwen3.6-27B,retail,Delayed,RAVEL,104,0.0,MAX_STEPS,874.2,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]bad_wifi_calling|data_mode_off|unseat_sim_card[PERSONA:Easy],0.0,MAX_STEPS,166.3,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded[PERSONA:Easy],0.0,MAX_STEPS,248.7,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|data_usage_exceeded[PERSONA:Easy],0.0,MAX_STEPS,194.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:Easy],0.0,MAX_STEPS,135.1,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,186.9,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]airplane_mode_on|bad_wifi_calling|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,229.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]bad_network_preference|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,170.6,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.0,MAX_STEPS,234.9,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]bad_wifi_calling|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0.0,MAX_STEPS,124.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,274.6,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.0,MAX_STEPS,154.2,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],0.0,MAX_STEPS,119.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0.0,MAX_STEPS,213.1,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,ConflictingView,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,270.9,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]bad_wifi_calling|data_mode_off|unseat_sim_card[PERSONA:Easy],0.0,TIMEOUT,1318.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|data_usage_exceeded[PERSONA:Easy],0.0,MAX_STEPS,246.1,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:Easy],0.0,MAX_STEPS,217.3,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded[PERSONA:Easy],0.0,TIMEOUT,1843.9,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,254.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]bad_network_preference|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,352.0,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.0,MAX_STEPS,400.0,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,257.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]bad_wifi_calling|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0.0,MAX_STEPS,337.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]airplane_mode_on|bad_wifi_calling|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,TIMEOUT,1911.9,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.0,MAX_STEPS,355.0,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],0.0,MAX_STEPS,188.0,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0.0,MAX_STEPS,316.6,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,Delayed,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,212.3,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded[PERSONA:Easy],0.0,MAX_STEPS,178.5,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]bad_wifi_calling|data_mode_off|unseat_sim_card[PERSONA:Easy],0.0,MAX_STEPS,182.4,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:Easy],0.0,MAX_STEPS,168.3,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|data_usage_exceeded[PERSONA:Easy],0.0,MAX_STEPS,226.7,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,219.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]bad_network_preference|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,264.7,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.0,MAX_STEPS,185.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]airplane_mode_on|bad_wifi_calling|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,891.9,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,302.4,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]bad_wifi_calling|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0.0,MAX_STEPS,187.3,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.0,MAX_STEPS,280.6,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0.0,MAX_STEPS,312.0,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],0.0,MAX_STEPS,163.4,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FieldMask,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,255.3,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]bad_wifi_calling|data_mode_off|unseat_sim_card[PERSONA:Easy],0.0,MAX_STEPS,181.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded[PERSONA:Easy],0.0,MAX_STEPS,375.5,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|data_usage_exceeded[PERSONA:Easy],0.0,MAX_STEPS,271.6,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|unseat_sim_card[PERSONA:Easy],0.0,MAX_STEPS,151.5,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]airplane_mode_on|bad_wifi_calling|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,299.2,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,233.0,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]bad_network_preference|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,172.0,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.0,MAX_STEPS,204.2,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]bad_wifi_calling|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0.0,MAX_STEPS,152.3,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0.0,MAX_STEPS,277.4,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0.0,MAX_STEPS,139.9,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],0.0,MAX_STEPS,126.8,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0.0,MAX_STEPS,246.0,dev,900,25,ravel_corrected
Qwen3.6-27B,telecom,FullSync,RAVEL,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0.0,MAX_STEPS,156.3,dev,900,25,ravel_corrected
Gemma4-31B,airline,FullSync,Baseline,7,0.0,USER_STOP,44.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,8,0.0,MAX_STEPS,79.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,12,0.0,MAX_STEPS,45.0,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,17,1.0,USER_STOP,50.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,22,1.0,USER_STOP,55.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,30,1.0,USER_STOP,45.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,32,0.0,MAX_STEPS,69.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,33,0.0,MAX_STEPS,46.6,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,37,1.0,USER_STOP,64.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,Baseline,44,0.0,USER_STOP,65.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,7,0.0,USER_STOP,48.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,8,0.0,MAX_STEPS,74.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,12,0.0,MAX_STEPS,49.1,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,17,1.0,USER_STOP,56.3,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,22,1.0,USER_STOP,57.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,30,1.0,USER_STOP,50.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,32,0.0,MAX_STEPS,77.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,33,0.0,MAX_STEPS,67.3,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,37,0.0,USER_STOP,70.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,ConflictingView,RAVEL,44,0.0,USER_STOP,79.0,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,7,0.0,MAX_STEPS,50.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,8,0.0,MAX_STEPS,66.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,12,0.0,MAX_STEPS,42.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,17,1.0,USER_STOP,48.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,30,0.0,USER_STOP,19.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,22,0.0,MAX_STEPS,55.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,33,0.0,MAX_STEPS,41.6,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,32,0.0,MAX_STEPS,62.5,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,37,0.0,USER_STOP,56.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,Delayed,RAVEL,44,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,7,0.0,USER_STOP,37.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,8,0.0,MAX_STEPS,77.3,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,12,0.0,MAX_STEPS,42.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,22,0.0,MAX_STEPS,58.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,17,0.0,MAX_STEPS,62.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,32,0.0,USER_STOP,28.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,30,0.0,USER_STOP,37.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,33,0.0,USER_STOP,48.2,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,37,0.0,USER_STOP,65.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FieldMask,RAVEL,44,0.0,USER_STOP,47.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,7,1.0,USER_STOP,57.6,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,8,0.0,MAX_STEPS,90.3,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,12,0.0,USER_STOP,40.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,22,0.0,MAX_STEPS,42.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,17,1.0,USER_STOP,66.9,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,30,1.0,USER_STOP,55.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,32,0.0,MAX_STEPS,57.4,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,37,0.0,USER_STOP,44.8,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,33,0.0,MAX_STEPS,71.7,dev,900,25,multimodel/gemma4
Gemma4-31B,airline,FullSync,RAVEL,44,0.0,USER_STOP,44.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,0,0.0,USER_STOP,53.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,6,0.0,MAX_STEPS,71.0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,13,1.0,USER_STOP,46.4,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,8,0.0,MAX_STEPS,65.4,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,31,0.0,MAX_STEPS,51.9,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,18,0.0,USER_STOP,53.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,32,0.0,MAX_STEPS,51.3,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,52,1.0,USER_STOP,63.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,54,0.0,MAX_STEPS,56.5,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,39,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,98,0.0,MAX_STEPS,117.7,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,104,0.0,MAX_STEPS,66.7,dev,900,25,multimodel/gemma4
Gemma4-31B,retail,FullSync,Baseline,109,,INFRASTRUCTURE_ERROR,0,dev,900,25,multimodel/gemma4
